Operation_Type,Workpiece_Material,Material_Hardness_HB,Tool_Diameter_mm,Number_of_Flutes,Tool_Coating,Tool_Wear_VB_mm,Rake_Angle_deg,Cutting_Speed_vc_mpm,Spindle_Speed_RPM,Feed_Rate_mm_rev,Axial_Depth_ap_mm,Radial_Depth_ae_mm,Feed_Speed_vf_mmpm,Coolant_Condition,Coolant_Flow_Rate_Lpm,Material_Removal_Rate_cm3_min,Cutting_Temperature_C,Cutting_Force_Fc_N,Spindle_Power_kW,Feed_Power_kW,Auxiliary_Power_kW,Cutting_Power_kW,Power_Consumption_kW,Specific_Energy_J_mm3,Carbon_Emission_Rate_kgCO2e_hr,Specific_Carbon_Emission_gCO2e_cm3
CNC Milling,AISI 304 Stainless Steel,191.5,6.0,2,TiCN,0.101,0.5,204.34,10840.8,0.0643,0.69,3.54,1393.6,Cryogenic (LN2),3.4,3.394,58.5,60.0,8.168,0.373,1.35,0.242,10.577,186.96,5.7419,28.193
CNC Turning,Inconel 718 Superalloy,432.2,72.73,1,AlCrN,0.103,-4.9,92.66,405.5,0.2945,2.57,0.29,119.4,Flood Coolant,16.41,70.263,334.5,4018.77,0.578,0.169,1.85,7.365,10.096,8.62,5.3139,1.26
CNC Turning,AISI 1045 Steel,199.7,69.85,1,AlCrN,0.057,8.5,102.15,465.5,0.1942,3.6,0.19,90.4,MQL (Min Lubrication),0.15,71.493,178.4,1599.61,0.598,0.164,0.85,3.081,4.84,4.06,2.4384,0.568
CNC Milling,AISI 304 Stainless Steel,218.1,25.0,5,TiCN,0.312,7.9,110.09,1401.7,0.142,1.1,22.15,995.3,Dry,0.0,24.314,480.4,1588.37,0.945,0.309,0.5,3.281,5.316,13.12,2.6402,1.81
CNC Milling,Al 6061-T6 Aluminum,102.5,32.0,6,TiAlN,0.044,-2.2,451.94,4495.5,0.1171,2.63,24.03,3158.1,Dry,0.0,199.887,137.8,716.26,2.567,0.655,0.5,6.088,9.779,2.94,4.7019,0.392
CNC Milling,AISI 304 Stainless Steel,191.5,10.0,3,TiAlN,0.116,-1.9,177.9,5662.8,0.1782,2.23,3.49,3027.9,Flood Coolant,32.19,23.642,159.0,358.84,3.367,0.634,1.85,1.257,7.177,18.21,3.9299,2.77
CNC Milling,AISI 304 Stainless Steel,211.4,12.0,4,Uncoated Carbide,0.32,-5.6,199.91,5302.6,0.0923,3.99,5.22,1957.2,MQL (Min Lubrication),0.06,40.75,462.4,1546.54,3.109,0.463,0.85,6.02,9.899,14.58,4.8996,2.004
CNC Milling,Inconel 718 Superalloy,396.3,20.0,5,TiCN,0.131,7.7,97.07,1544.9,0.0558,1.36,15.64,431.2,Flood Coolant,16.78,9.162,158.6,593.7,1.004,0.219,1.85,1.092,4.15,27.18,2.4954,4.539
CNC Milling,AISI 304 Stainless Steel,200.0,8.0,3,TiAlN,0.25,9.4,214.23,8524.1,0.0518,3.31,2.67,1325.9,MQL (Min Lubrication),0.09,11.711,221.5,249.41,5.768,0.362,0.85,1.054,8.131,41.66,4.0427,5.753
CNC Milling,Ti-6Al-4V Titanium,343.3,25.0,4,TiCN,0.45,2.8,129.57,1649.7,0.071,2.37,19.82,468.6,MQL (Min Lubrication),0.15,22.04,588.0,1959.21,1.048,0.225,0.85,5.08,7.366,20.05,3.7286,2.82
CNC Turning,AISI 1045 Steel,225.8,96.08,1,TiAlN,0.187,2.4,207.75,688.3,0.2931,1.03,0.29,201.7,Dry,0.0,63.028,419.3,1353.5,0.674,0.182,0.5,5.288,6.836,6.51,3.3336,0.882
CNC Milling,Al 6061-T6 Aluminum,103.9,16.0,4,TiAlN,0.058,0.0,311.57,6198.6,0.1397,1.01,8.36,3463.2,Flood Coolant,28.21,29.201,72.8,106.44,3.77,0.704,1.85,0.64,7.161,14.71,3.911,2.232
CNC Milling,Ti-6Al-4V Titanium,344.3,8.0,3,TiAlN,0.099,5.2,71.54,2846.6,0.2133,1.24,5.41,1821.5,MQL (Min Lubrication),0.18,12.22,219.9,653.03,1.612,0.441,0.85,0.888,3.93,19.3,2.0142,2.747
CNC Milling,AISI 304 Stainless Steel,196.5,8.0,3,TiCN,0.152,-2.9,151.46,6026.3,0.081,0.64,2.01,1464.9,Flood Coolant,30.2,1.886,95.1,45.0,3.638,0.384,1.85,0.135,5.74,182.63,3.255,28.77
CNC Milling,AISI 1045 Steel,206.2,25.0,6,Uncoated Carbide,0.192,1.6,164.75,2097.7,0.1301,1.18,21.35,1637.5,Flood Coolant,21.9,41.187,194.1,1211.41,1.247,0.412,1.85,3.945,7.413,10.8,4.0585,1.642
CNC Turning,Ti-6Al-4V Titanium,336.8,47.68,1,TiCN,0.158,-1.6,123.28,823.1,0.1266,1.3,0.13,104.2,Flood Coolant,29.82,20.371,220.5,976.29,0.723,0.167,1.85,2.284,4.84,14.25,2.8286,2.314
CNC Milling,AISI 1045 Steel,206.0,20.0,5,Uncoated Carbide,0.046,-3.5,220.57,3510.5,0.1006,0.55,16.64,1765.8,Flood Coolant,31.93,16.239,82.6,264.7,1.971,0.433,1.85,1.146,5.175,19.12,2.9655,3.044
CNC Milling,AISI 1045 Steel,230.8,25.0,4,TiAlN,0.117,8.2,163.71,2084.4,0.0802,2.47,9.68,668.4,Cryogenic (LN2),5.47,15.978,73.3,255.8,1.24,0.257,1.35,0.785,3.659,13.74,2.459,2.565
CNC Turning,Ti-6Al-4V Titanium,339.6,59.06,1,Uncoated Carbide,0.414,-5.4,48.69,262.4,0.1429,0.82,0.14,37.5,Dry,0.0,5.724,512.2,1848.54,0.531,0.156,0.5,1.69,2.698,28.28,1.4219,4.14
CNC Milling,AISI 1045 Steel,207.4,32.0,6,Uncoated Carbide,0.433,2.3,139.48,1387.4,0.1594,2.07,28.02,1327.1,Flood Coolant,30.16,77.01,397.1,4231.84,0.939,0.362,1.85,11.515,14.688,11.44,7.572,1.639
CNC Turning,AISI 1045 Steel,209.3,49.31,1,Uncoated Carbide,0.278,3.8,112.3,725.0,0.3152,0.65,0.32,228.5,Flood Coolant,34.39,23.108,241.1,1009.72,0.687,0.187,1.85,2.251,4.893,12.71,2.8816,2.078
CNC Milling,Ti-6Al-4V Titanium,337.9,10.0,4,TiAlN,0.193,9.9,125.87,4006.5,0.0741,0.96,1.16,1188.0,MQL (Min Lubrication),0.18,1.315,130.7,45.0,2.262,0.34,0.85,0.114,3.599,164.15,1.8771,23.784
CNC Milling,AISI 1045 Steel,212.1,8.0,4,TiAlN,0.015,3.5,114.54,4557.3,0.1223,3.17,1.83,2229.9,Flood Coolant,33.06,12.959,65.3,172.06,2.606,0.507,1.85,0.383,5.502,25.47,3.1155,4.007
CNC Turning,AISI 304 Stainless Steel,204.6,49.23,1,AlCrN,0.061,1.5,72.48,468.7,0.3755,3.55,0.38,176.0,Cryogenic (LN2),3.49,96.62,108.5,3254.76,0.599,0.178,1.35,4.606,6.805,4.23,3.9425,0.68
CNC Turning,AISI 1045 Steel,202.9,53.47,1,TiAlN,0.034,5.1,225.0,1339.5,0.2149,2.13,0.21,287.9,MQL (Min Lubrication),0.15,102.903,207.3,1084.95,0.92,0.196,0.85,4.896,6.998,4.08,3.4591,0.56
CNC Turning,Ti-6Al-4V Titanium,341.5,99.74,1,Uncoated Carbide,0.114,-4.5,62.54,250.0,0.2699,2.78,0.27,67.5,Flood Coolant,15.93,46.918,257.6,4136.79,0.527,0.161,1.85,5.078,7.473,9.56,4.0699,1.446
CNC Milling,Ti-6Al-4V Titanium,334.3,25.0,5,TiCN,0.215,5.7,56.95,725.1,0.0586,2.94,14.49,212.5,Flood Coolant,18.57,9.057,160.3,948.1,0.688,0.184,1.85,1.058,3.458,22.91,2.1851,4.021
CNC Milling,Al 6061-T6 Aluminum,99.3,6.0,2,TiCN,0.021,4.2,175.88,9330.6,0.12,2.44,3.63,2240.0,Flood Coolant,28.27,19.808,55.6,111.44,6.557,0.508,1.85,0.367,9.205,27.88,4.8752,4.102
CNC Turning,AISI 1045 Steel,216.8,28.82,1,TiAlN,0.091,8.0,239.66,2646.9,0.2275,0.68,0.23,602.1,MQL (Min Lubrication),0.16,37.003,199.9,429.62,1.51,0.246,0.85,1.953,4.606,7.47,2.3338,1.051
CNC Milling,AISI 1045 Steel,225.9,10.0,4,TiCN,0.012,-0.4,143.41,4565.0,0.0442,3.8,1.88,806.9,MQL (Min Lubrication),0.14,5.779,65.6,80.28,2.611,0.279,0.85,0.228,4.17,43.3,2.1124,6.092
CNC Milling,AISI 1045 Steel,196.0,8.0,2,TiCN,0.047,-4.2,91.27,3631.6,0.1726,0.57,2.33,1253.6,Cryogenic (LN2),2.6,1.68,45.0,45.0,2.041,0.351,1.35,0.079,3.949,141.08,2.5833,25.635
CNC Milling,AISI 304 Stainless Steel,203.9,10.0,4,TiAlN,0.075,4.2,178.62,5685.7,0.1658,0.85,2.93,3771.1,Flood Coolant,22.84,9.369,116.2,112.41,3.384,0.753,1.85,0.379,5.913,37.87,3.3213,5.909
CNC Milling,Inconel 718 Superalloy,393.3,32.0,6,TiAlN,0.179,-1.6,62.67,623.4,0.1384,1.66,12.57,517.9,Flood Coolant,32.43,10.809,204.1,920.17,0.652,0.233,1.85,1.091,3.935,21.84,2.4037,3.706
CNC Turning,AISI 1045 Steel,192.4,90.0,1,Uncoated Carbide,0.2,-3.7,279.81,989.6,0.1127,3.19,0.11,111.5,Dry,0.0,100.539,481.7,2447.92,0.784,0.168,0.5,13.61,14.997,8.95,7.2128,1.196
CNC Milling,AISI 1045 Steel,208.7,12.0,4,Uncoated Carbide,0.1,6.0,242.66,6436.7,0.0723,2.94,8.73,1862.7,Dry,0.0,47.864,246.9,924.81,3.955,0.448,0.5,4.32,9.753,12.23,4.7005,1.637
CNC Turning,AISI 1045 Steel,202.8,99.07,1,AlCrN,0.152,-3.0,277.29,890.9,0.1994,0.59,0.2,177.7,Flood Coolant,29.74,32.519,183.3,406.72,0.747,0.178,1.85,2.198,5.136,9.48,2.9682,1.521
CNC Milling,Ti-6Al-4V Titanium,349.3,8.0,3,TiAlN,0.005,-0.2,56.93,2265.3,0.0568,1.32,2.31,386.0,Dry,0.0,1.176,85.3,72.14,1.325,0.212,0.5,0.079,2.243,114.42,1.116,15.813
CNC Milling,Ti-6Al-4V Titanium,334.1,12.0,3,TiAlN,0.137,-3.1,95.56,2534.8,0.1451,4.12,5.96,1103.2,Flood Coolant,28.07,27.059,201.6,1241.02,1.455,0.327,1.85,2.268,6.04,13.39,3.3943,2.091
CNC Milling,Ti-6Al-4V Titanium,326.7,6.0,4,AlCrN,0.205,-2.6,123.99,6578.0,0.0802,1.16,2.47,2111.2,Flood Coolant,26.87,6.058,165.1,246.62,4.068,0.488,1.85,0.604,7.186,71.18,3.9535,10.878
CNC Milling,Al 6061-T6 Aluminum,107.3,10.0,4,TiCN,0.043,-5.7,360.55,11476.7,0.1053,2.91,7.43,4834.3,Flood Coolant,21.52,104.613,78.3,409.61,8.898,0.923,1.85,2.902,14.752,8.46,7.5136,1.197
CNC Turning,AISI 304 Stainless Steel,212.2,42.6,1,TiCN,0.184,-1.4,97.96,732.1,0.374,3.48,0.37,273.8,Flood Coolant,16.08,127.611,328.7,4800.0,0.69,0.194,1.85,9.23,12.937,6.08,6.6805,0.873
CNC Turning,AISI 1045 Steel,215.3,25.83,1,TiCN,0.053,6.3,224.0,2760.2,0.3965,2.48,0.4,1094.3,Flood Coolant,21.54,220.323,207.0,1998.79,1.568,0.325,1.85,8.822,13.272,3.61,6.8125,0.515
CNC Turning,AISI 1045 Steel,216.6,60.49,1,TiCN,0.233,7.8,215.86,1136.0,0.2866,1.26,0.29,325.6,Flood Coolant,27.97,78.142,286.0,1310.71,0.84,0.202,1.85,5.48,8.486,6.52,4.5778,0.976
CNC Turning,Ti-6Al-4V Titanium,336.4,88.74,1,TiCN,0.12,6.9,68.3,250.0,0.3197,1.13,0.32,79.9,Flood Coolant,22.54,24.636,200.8,1376.72,0.527,0.163,1.85,1.823,4.378,10.66,2.6012,1.76
CNC Turning,Ti-6Al-4V Titanium,342.6,78.51,1,Uncoated Carbide,0.049,1.9,50.51,250.0,0.1707,2.45,0.17,42.7,Cryogenic (LN2),5.41,21.11,98.8,1822.04,0.527,0.157,1.35,1.825,3.981,11.32,2.599,2.052
CNC Turning,AISI 304 Stainless Steel,215.6,93.05,1,TiAlN,0.063,2.8,131.72,450.6,0.144,2.95,0.14,64.9,Dry,0.0,56.026,292.3,1818.73,0.593,0.16,0.5,4.786,6.021,6.45,2.9205,0.869
CNC Milling,Ti-6Al-4V Titanium,346.7,10.0,4,TiAlN,0.086,-5.6,91.04,2897.8,0.1501,1.79,3.77,1740.3,Cryogenic (LN2),3.54,11.732,94.0,435.79,1.638,0.428,1.35,0.757,4.238,21.68,2.7281,3.876
CNC Milling,Ti-6Al-4V Titanium,343.3,20.0,5,Uncoated Carbide,0.292,-2.3,97.95,1558.9,0.1805,3.83,11.85,1406.6,Flood Coolant,21.66,63.868,424.3,4500.0,1.01,0.375,1.85,8.771,12.28,11.54,6.3934,1.668
CNC Milling,Al 6061-T6 Aluminum,101.8,25.0,4,TiAlN,0.009,-1.9,212.94,2711.2,0.1157,1.18,14.38,1255.0,Flood Coolant,26.56,21.343,45.5,108.27,1.543,0.351,1.85,0.433,4.419,12.42,2.5999,2.03
CNC Milling,Ti-6Al-4V Titanium,343.2,20.0,6,TiCN,0.431,6.0,95.31,1516.9,0.186,4.26,17.89,1692.5,Dry,0.0,128.998,969.4,4500.0,0.992,0.421,0.5,8.066,9.799,4.56,4.7991,0.62
CNC Milling,Al 6061-T6 Aluminum,106.1,12.0,5,Uncoated Carbide,0.163,9.3,342.13,9075.2,0.1753,1.99,9.36,7953.4,Dry,0.0,148.234,210.8,900.26,6.302,1.423,0.5,6.002,14.431,5.84,6.9359,0.78
CNC Milling,AISI 1045 Steel,210.9,10.0,4,TiAlN,0.145,-1.4,109.79,3494.7,0.0586,4.1,3.08,818.9,Flood Coolant,30.92,10.353,105.7,305.37,1.963,0.281,1.85,0.658,4.662,27.02,2.7414,4.413
CNC Turning,Ti-6Al-4V Titanium,334.4,49.47,1,TiCN,0.27,2.4,83.9,539.9,0.3898,3.08,0.39,210.4,MQL (Min Lubrication),0.24,100.767,639.4,4800.0,0.623,0.184,0.85,7.659,9.739,5.8,4.8115,0.796
CNC Milling,Inconel 718 Superalloy,372.1,16.0,4,TiCN,0.154,-1.8,41.88,833.2,0.1267,2.21,11.71,422.2,Flood Coolant,25.7,10.904,195.9,1597.85,0.726,0.218,1.85,1.303,4.058,22.33,2.4564,3.755
CNC Milling,AISI 304 Stainless Steel,188.8,8.0,3,AlCrN,0.059,5.4,76.61,3048.1,0.0742,1.04,2.2,678.4,Flood Coolant,17.45,1.557,70.2,45.0,1.717,0.259,1.85,0.068,3.978,153.27,2.399,25.679
CNC Milling,Al 6061-T6 Aluminum,102.6,8.0,3,TiCN,0.094,4.7,421.13,16756.3,0.1838,3.49,1.99,9237.8,Flood Coolant,29.08,64.136,80.5,123.26,16.146,1.628,1.85,1.003,20.967,19.62,10.476,2.722
CNC Milling,Al 6061-T6 Aluminum,96.2,20.0,5,AlCrN,0.021,0.8,433.95,6906.5,0.2013,2.45,0.93,6949.7,Flood Coolant,33.95,15.836,57.3,45.0,4.335,1.262,1.85,0.37,7.429,28.15,4.0315,4.243
CNC Turning,AISI 1045 Steel,209.7,53.41,1,TiCN,0.012,-0.4,265.38,1581.6,0.2779,2.76,0.28,439.5,Cryogenic (LN2),4.55,203.705,124.6,1554.46,1.02,0.22,1.35,8.065,10.759,3.17,5.8119,0.476
CNC Milling,Ti-6Al-4V Titanium,347.4,20.0,5,TiCN,0.263,5.4,80.81,1286.1,0.207,3.61,4.34,1330.9,MQL (Min Lubrication),0.18,20.847,360.0,950.61,0.899,0.363,0.85,1.473,3.193,9.19,1.7006,1.36
CNC Turning,AISI 1045 Steel,221.1,92.45,1,AlCrN,0.116,-5.4,159.08,547.7,0.2596,3.74,0.26,142.2,Flood Coolant,26.7,154.551,227.8,3063.33,0.626,0.173,1.85,9.665,12.04,4.67,6.24,0.673
CNC Turning,Inconel 718 Superalloy,418.7,100.07,1,AlCrN,0.178,-4.9,76.6,250.0,0.3708,3.42,0.37,92.7,Flood Coolant,20.27,97.153,415.4,4800.0,0.527,0.165,1.85,7.169,9.711,6.0,5.147,0.883
CNC Milling,Al 6061-T6 Aluminum,105.8,20.0,5,TiCN,0.082,-0.7,390.85,6220.5,0.1334,2.76,10.66,4148.7,Flood Coolant,20.78,122.276,85.4,385.57,3.787,0.814,1.85,2.891,9.399,4.61,4.9787,0.679
CNC Milling,AISI 1045 Steel,200.2,10.0,4,TiAlN,0.296,-3.7,249.8,7951.4,0.0564,0.71,6.25,1792.8,Cryogenic (LN2),5.64,7.93,103.7,188.19,5.238,0.437,1.35,0.926,8.307,62.85,4.7075,9.893
CNC Turning,AISI 1045 Steel,219.3,53.06,1,TiAlN,0.068,9.2,162.42,974.4,0.3034,1.56,0.3,295.6,Flood Coolant,30.49,77.078,164.9,1076.64,0.778,0.197,1.85,3.438,6.014,4.68,3.368,0.728
CNC Turning,Ti-6Al-4V Titanium,325.4,47.36,1,AlCrN,0.196,-5.0,146.01,981.4,0.1462,2.3,0.15,143.5,MQL (Min Lubrication),0.24,49.062,451.7,2189.17,0.781,0.173,0.85,6.111,7.738,9.46,3.8437,1.306
CNC Turning,AISI 304 Stainless Steel,224.7,84.67,1,TiCN,0.222,1.5,227.34,854.6,0.2645,1.48,0.26,226.0,Flood Coolant,21.66,88.922,385.4,1888.88,0.734,0.186,1.85,8.172,10.607,7.16,5.5828,1.046
CNC Turning,AISI 1045 Steel,199.9,45.32,1,AlCrN,0.025,6.9,131.22,921.7,0.0854,3.95,0.09,78.7,Cryogenic (LN2),3.49,44.248,66.0,802.97,0.759,0.163,1.35,2.061,4.27,5.79,2.732,1.029
CNC Milling,AISI 304 Stainless Steel,201.3,8.0,3,Uncoated Carbide,0.285,4.6,136.93,5448.2,0.1109,2.67,6.86,1812.4,Flood Coolant,20.94,33.229,278.9,1715.93,3.212,0.44,1.85,4.437,10.067,18.18,5.3405,2.679
CNC Milling,AISI 304 Stainless Steel,195.3,6.0,3,TiAlN,0.148,5.9,107.44,5700.0,0.145,2.18,0.54,2480.1,Flood Coolant,29.59,2.922,69.3,45.59,3.395,0.547,1.85,0.093,5.113,104.98,2.9564,16.861
CNC Milling,AISI 1045 Steel,189.1,12.0,4,TiAlN,0.09,5.1,163.33,4332.4,0.0588,2.12,8.48,1018.2,Flood Coolant,19.19,18.276,111.2,363.05,2.463,0.313,1.85,1.122,5.751,18.88,3.2474,2.962
CNC Turning,Al 6061-T6 Aluminum,100.0,75.5,1,AlCrN,0.088,0.9,320.31,1350.4,0.1603,0.54,0.16,216.4,Cryogenic (LN2),5.96,27.653,52.3,110.51,0.924,0.185,1.35,0.681,2.921,6.34,2.1029,1.267
CNC Turning,Inconel 718 Superalloy,439.8,69.52,1,AlCrN,0.214,7.5,86.4,395.6,0.1313,3.74,0.13,52.0,Cryogenic (LN2),3.27,42.403,198.5,3402.91,0.575,0.158,1.35,5.605,7.698,10.89,4.3992,1.729
CNC Milling,Al 6061-T6 Aluminum,100.5,12.0,3,TiAlN,0.022,1.0,254.42,6748.7,0.0781,2.72,4.86,1582.2,MQL (Min Lubrication),0.24,20.915,52.0,90.6,4.205,0.403,0.85,0.44,5.638,16.17,2.8113,2.24
CNC Milling,Al 6061-T6 Aluminum,98.0,25.0,5,TiCN,0.03,2.7,181.54,2311.5,0.0454,4.1,1.35,524.6,MQL (Min Lubrication),0.14,2.909,45.0,45.0,1.346,0.234,0.85,0.157,2.725,56.19,1.4285,8.183
CNC Milling,AISI 1045 Steel,200.9,25.0,6,Uncoated Carbide,0.17,6.4,113.66,1447.2,0.1508,4.28,2.57,1309.6,Flood Coolant,29.06,14.389,105.8,231.47,0.964,0.36,1.85,0.522,3.884,16.19,2.3771,2.753
CNC Milling,AISI 1045 Steel,221.7,25.0,5,TiAlN,0.259,4.0,240.23,3058.7,0.084,1.4,14.65,1284.3,MQL (Min Lubrication),0.15,26.322,261.7,545.7,1.723,0.355,0.85,2.505,5.429,12.37,2.7614,1.748
CNC Turning,AISI 1045 Steel,192.3,84.19,1,TiAlN,0.11,-3.5,254.76,963.2,0.2604,0.76,0.26,250.8,MQL (Min Lubrication),0.11,50.545,246.3,629.11,0.774,0.19,0.85,3.068,4.864,5.77,2.4603,0.811
CNC Turning,Al 6061-T6 Aluminum,104.8,92.54,1,TiCN,0.053,9.9,376.74,1295.8,0.1351,1.49,0.14,175.1,Flood Coolant,27.73,76.061,67.2,236.53,0.903,0.178,1.85,1.707,4.179,3.3,2.4934,0.546
CNC Turning,Inconel 718 Superalloy,398.5,59.5,1,AlCrN,0.283,-3.2,84.53,452.2,0.2197,2.24,0.22,99.3,Flood Coolant,25.08,41.679,448.5,4195.45,0.593,0.166,1.85,6.972,9.961,14.34,5.2898,2.115
CNC Milling,Al 6061-T6 Aluminum,97.3,8.0,4,TiAlN,0.056,1.4,326.53,12992.1,0.1798,2.31,3.33,9342.2,Flood Coolant,20.11,71.783,76.4,201.63,10.762,1.645,1.85,1.284,15.481,12.94,7.8623,1.825
CNC Milling,Al 6061-T6 Aluminum,91.7,12.0,4,TiAlN,0.03,-0.3,181.14,4804.9,0.1001,4.03,5.98,1924.0,Flood Coolant,33.5,46.402,49.6,270.63,2.769,0.458,1.85,0.954,6.015,7.78,3.3615,1.207
CNC Turning,Ti-6Al-4V Titanium,329.8,68.13,1,TiCN,0.095,7.3,52.78,250.0,0.3154,3.57,0.32,78.8,MQL (Min Lubrication),0.25,59.417,329.4,4104.81,0.527,0.163,0.85,4.076,5.646,5.7,2.8284,0.793
CNC Turning,AISI 304 Stainless Steel,214.4,77.49,1,TiAlN,0.186,3.0,87.64,360.0,0.3654,2.68,0.37,131.6,Flood Coolant,29.0,85.819,306.3,3936.16,0.563,0.171,1.85,6.581,9.511,6.65,5.0539,0.982
CNC Turning,AISI 304 Stainless Steel,200.4,102.45,1,AlCrN,0.12,4.9,177.62,551.9,0.1164,3.83,0.12,64.2,Flood Coolant,34.04,79.088,211.3,1703.42,0.627,0.16,1.85,5.672,8.27,6.27,4.4502,0.938
CNC Turning,AISI 1045 Steel,201.2,22.5,1,AlCrN,0.045,2.6,262.49,3713.0,0.3655,3.5,0.37,1357.2,Flood Coolant,34.26,335.825,216.2,2529.06,2.088,0.367,1.85,12.976,17.348,3.1,8.7475,0.434
CNC Milling,AISI 1045 Steel,207.6,16.0,4,TiAlN,0.251,2.3,106.65,2121.8,0.1762,3.41,0.56,1495.4,Flood Coolant,16.61,2.873,91.7,45.0,1.258,0.389,1.85,0.091,4.022,83.99,2.4611,14.278
CNC Milling,Ti-6Al-4V Titanium,334.7,12.0,4,TiAlN,0.136,9.1,72.29,1917.5,0.1283,2.34,5.99,983.8,Flood Coolant,20.03,13.775,141.4,717.47,1.165,0.307,1.85,1.028,4.229,18.42,2.5341,3.066
CNC Milling,AISI 304 Stainless Steel,207.5,12.0,4,TiAlN,0.081,3.4,159.43,4228.9,0.1586,3.18,6.57,2683.5,Cryogenic (LN2),2.59,56.172,106.7,964.77,2.398,0.579,1.35,3.085,7.114,7.6,4.0931,1.214
CNC Milling,Ti-6Al-4V Titanium,326.1,20.0,4,TiAlN,0.041,7.7,79.66,1267.8,0.0835,3.16,11.67,423.5,Flood Coolant,29.23,15.604,109.9,651.1,0.891,0.218,1.85,0.977,4.187,16.1,2.4953,2.665
CNC Milling,Ti-6Al-4V Titanium,342.2,12.0,3,TiCN,0.266,-3.1,107.81,2859.8,0.1983,0.88,10.4,1701.4,MQL (Min Lubrication),0.16,15.505,409.5,1033.8,1.619,0.422,0.85,2.205,4.942,19.12,2.5319,2.722
CNC Milling,AISI 1045 Steel,203.0,32.0,6,Uncoated Carbide,0.268,-3.0,99.89,993.6,0.0472,1.84,21.15,281.1,Flood Coolant,26.62,10.937,128.4,787.45,0.786,0.195,1.85,1.566,4.236,23.24,2.567,3.912
CNC Turning,AISI 304 Stainless Steel,209.9,42.26,1,AlCrN,0.155,1.3,105.35,793.6,0.116,2.14,0.12,92.0,Cryogenic (LN2),2.46,26.133,109.2,1084.52,0.712,0.165,1.35,2.146,4.563,10.48,2.8969,1.848
CNC Milling,AISI 304 Stainless Steel,202.8,6.0,2,TiCN,0.075,8.8,184.7,9798.6,0.061,1.68,3.33,1195.4,Flood Coolant,28.98,6.703,85.2,113.51,7.038,0.341,1.85,0.415,9.785,87.6,5.1608,12.833
